"date","ristorante","lordototale","weekday","LOCALITA.x","LOCALITA.y","FENOMENI","year","month","day","place","population","totale_casi"
"2018-09-01","R000",50173.718,"Saturday","Pavia","Pavia","pioggia ",2018,9,1,"Montebello",1596,0
"2018-09-01","R001",58917.8366,"Saturday","Piacenza","Piacenza","N",2018,9,1,"Piacenza",103904,0
"2018-09-01","R003",17001.8058,"Saturday","Piacenza","Piacenza","N",2018,9,1,"Piacenza",103904,0
"2018-09-01","R004",46703.5681,"Saturday","Pavia","Pavia","pioggia ",2018,9,1,"Stradella",11669,0
"2018-09-01","R005",27423.1587,"Saturday","Pavia","Pavia","pioggia ",2018,9,1,"Voghera",39051,0
"2018-09-02","R000",43169.7749,"Sunday","Pavia","Pavia","pioggia ",2018,9,2,"Montebello",1596,0
"2018-09-02","R001",48995.3464,"Sunday","Piacenza","Piacenza","pioggia ",2018,9,2,"Piacenza",103904,0
"2018-09-02","R003",14807.9085,"Sunday","Piacenza","Piacenza","pioggia ",2018,9,2,"Piacenza",103904,0
"2018-09-02","R004",37350.8527,"Sunday","Pavia","Pavia","pioggia ",2018,9,2,"Stradella",11669,0
"2018-09-02","R005",22980.6829,"Sunday","Pavia","Pavia","pioggia ",2018,9,2,"Voghera",39051,0
"2018-09-03","R000",24781.9411,"Monday","Pavia","Pavia","pioggia temporale ",2018,9,3,"Montebello",1596,0
"2018-09-03","R001",36185.5732,"Monday","Piacenza","Piacenza","pioggia temporale ",2018,9,3,"Piacenza",103904,0
"2018-09-03","R003",15593.5584,"Monday","Piacenza","Piacenza","pioggia temporale ",2018,9,3,"Piacenza",103904,0
"2018-09-03","R004",27135.5042,"Monday","Pavia","Pavia","pioggia temporale ",2018,9,3,"Stradella",11669,0
"2018-09-03","R005",23780.8704,"Monday","Pavia","Pavia","pioggia temporale ",2018,9,3,"Voghera",39051,0
"2018-09-04","R000",25100.7771,"Tuesday","Pavia","Pavia","N",2018,9,4,"Montebello",1596,0
"2018-09-04","R001",36402.4808,"Tuesday","Piacenza","Piacenza","N",2018,9,4,"Piacenza",103904,0
"2018-09-04","R003",15651.2545,"Tuesday","Piacenza","Piacenza","N",2018,9,4,"Piacenza",103904,0
"2018-09-04","R004",25410.8575,"Tuesday","Pavia","Pavia","N",2018,9,4,"Stradella",11669,0
